id,username,password,name,company,isManager,M,T,W,T,F,S,S,M,T,W,T,F,S,S

1,admin,password,Bob,Burrito Shop,True,
9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,
9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00,9:00-14:00|

2,greenDragon,fire,Robert,Burrito Shop,False,
7:00-13:00,7:00-13:00,7:00-13:00,7:00-13:00,- - - -,- - - -,- - - -,
7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00|

2,greenDragon,fire,Robert,Burrito Shop,False,
7:00-13:00,7:00-13:00,7:00-13:00,7:00-13:00,- - - -,- - - -,- - - -,
7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00,7:00-18:00|



